"C1"	"C2"	"C3"	"C4"	"C5"	"C11"	"Ds1"	"Ds3"	"Ds4"	"Ds5"	"Ds8"	"Ds9"
"ENSG00000188976"	20.5702168202712	23.3472559327192	45.7908364355026	41.5998425937358	25.4478129088621	34.6231713321092	47.0485377248874	32.0371431924646	36.1269386460025	28.5843935904285	34.431142253661	50.6173128827872
"ENSG00000187961"	0.539138747305495	0.748309485023051	2.74992202615367	1.93760734734408	0.547264793738969	1.08332826445899	3.76244970381811	2.29200547481861	3.265517765338	3.51036412514034	1.24216071264617	4.01724705418946
"ENSG00000188290"	0.829444226623839	0.374154742511525	3.86225003673268	3.08255714350195	0.456053994782474	1.42999330908586	3.43995401491941	2.29200547481861	0.859346780352106	1.68354197838363	0.69871540086347	2.57103811468125
"ENSG00000187608"	0.497666535974303	1.60886539279956	5.46894605201347	5.43117210997962	1.41376738382567	2.64332096527993	6.34241521500767	3.92187603468962	1.68431968949013	3.9043845881663	1.5915184130779	2.57103811468125
"ENSG00000188157"	6.46966496766594	5.79939850892865	28.4570582706464	23.9265149709913	8.20897190608454	16.0765914445714	56.8667398091365	36.315553412126	28.977173433473	38.3990851239841	15.6046439526175	31.1336646699683
"ENSG00000131591"	1.90772172123483	2.31975940357146	5.2835580502503	3.14127251766389	2.28026997391237	4.63664497188447	11.5381790917089	5.75548041454451	6.9778958564591	4.94316580887109	3.64884709339812	11.1679468106467
"ENSG00000078808"	27.0398817879371	26.1534165015556	38.9005823699715	40.0145274913634	31.7413580368602	42.7697998808408	50.8468202830276	48.3867822461707	43.1048345024616	41.6945289965649	46.2704865460698	52.5455914687981
"ENSG00000176022"	11.8610524407209	10.3266708933181	13.378834127242	14.3559089825948	10.0787932846927	13.3899373487131	13.5806517880673	12.1221622890407	12.649584606783	10.9967529226335	12.6545122600828	14.9843315121267
"ENSG00000160087"	6.92585929230905	6.80961631370976	13.9349981325315	9.86418285920623	5.42704253791144	10.2699519470712	15.336461649849	14.923502313819	11.44649911429	11.6773337224056	7.64705188722797	14.7031242183334
"ENSG00000162572"	1.82477729857244	1.90818918680878	5.74702805465822	3.61099551095942	1.45937278330392	4.46331244957103	6.05575238043105	6.97788333444777	5.49981939425348	6.87744808190761	2.71722655891349	9.27984069517765
"ENSG00000131584"	18.7869117330299	19.8302013531109	71.6215646811708	63.1190272240875	20.8872729610373	69.3763420559536	94.204574012741	81.1879272635748	52.1451626317658	79.699593657523	40.0985005051091	129.275010203817
"ENSG00000169972"	0.290305479318343	0.748309485023051	2.53363602409664	2.08439578274894	0	1.8199914842911	2.54413265686748	2.1392051098307	0.824972909138021	1.46862172582402	0.582262834052891	2.69155552630694
"ENSG00000127054"	15.9253291511777	16.425393196256	34.6675563297125	24.7191725221775	13.9552522403437	29.5098619238628	35.8328543220772	35.7043519521744	35.4738350929349	37.9334245767716	23.9504112407089	49.4121387665303
"ENSG00000224051"	2.11508277789079	1.94560466105993	10.1963400969743	6.51740653197555	2.23466457443412	5.6766401057651	8.67155074594269	8.86242116929863	7.28726069738586	7.62966896586625	5.74499329598853	13.2167428082833
"ENSG00000107404"	9.45566418351176	13.3199088334103	42.7628324067042	35.4053706196509	10.1243986841709	27.9065360924635	46.1527163668354	33.5651468423437	31.8645786154561	31.7365572946361	17.9336952888291	49.0104140611114
"ENSG00000162576"	0.373249901980727	0.486401165264983	2.84261602703525	2.11375346982991	0.866502590086701	1.77665835371274	3.22495688898695	2.49573929480249	2.64678808348449	2.65068311490189	1.90205859123945	5.74466328749093
"ENSG00000175756"	3.56661017448251	6.622538942454	18.9095761798432	18.7302043576595	5.24462093999845	10.7032832528548	15.300628795527	9.62642299423816	10.9652649172929	10.5669124175143	7.41414675360682	17.3143348035566
"ENSG00000221978"	34.6707686728765	33.8984196715442	48.6952484631256	45.416341914262	47.5664316558121	57.1563992328562	55.218428510321	76.9604504989093	67.6477785493177	77.1205506268077	55.4314218018353	67.5299229809248
"ENSG00000242485"	18.7454395216988	24.6567975315095	32.9063703129624	35.5815167421368	18.607002987125	26.1298777387508	26.4088136353709	18.8963118035045	18.1150301298224	19.1279024778055	20.2239291027704	24.6658969127233
"ENSG00000235098"	5.68169295237329	3.89120932211986	6.27229405965387	9.48253292715361	8.34578810451928	4.89664375535462	12.6131647213712	11.0525597341253	10.5184045915098	10.925112838447	8.88921259987414	8.07466657892081
"ENSG00000179403"	5.34991526172376	6.17355325144017	22.2774582118741	16.4990201395057	8.75623669982351	16.8999209255602	35.0086986726694	32.3427439224404	29.9740156986814	27.9754528748429	15.2164687299156	50.4164505300777
"ENSG00000215915"	0.829444226623839	0.785724959274203	1.2050220114606	1.76146122485826	1.7330051801734	1.21332765619407	5.12409816805704	4.43121058464931	5.39669778061122	5.22972614561724	2.25141629167118	4.90104140611114
"ENSG00000160072"	3.89838786513204	2.13268203231569	8.6514400822812	6.25318734824681	1.77861057965165	9.96662003302269	12.4698333040829	11.0016262791293	9.1434497429464	9.31321094424988	5.78381081825872	12.9355355144901
"ENSG00000197785"	4.06427671045681	4.48985691013831	7.2919280693513	8.04400626018604	5.3814371384332	6.23997080328377	7.52489940763621	7.79281861438328	6.39354004581967	8.99083056541046	5.12391293966544	11.6098439866075
"ENSG00000205090"	0.373249901980727	0.785724959274203	3.95494403761426	4.87337605544118	0.547264793738969	3.50998357684712	5.80492240017651	2.95414038976621	3.67800421990701	3.29544387258073	1.78560602442887	7.03018234483155
